section,row,Line,SERP,TREE,ID notes,Use this tree,site,acc,tree num,week 1,week 2,week 3,week 4,Week 5,Week 6,Week 7,week 8,week 9,week 10,Notes,day
Ch-B1,A,1,1,BORDER,601-1,601-1,,601,1,,0,,0,0,,,,,,,Monday
Ch-B1,A,2,2,BORDER,517-3,517-3,,517,3,,0,,0,0,,,,,,,Monday
Ch-B1,A,3,3,BORDER,514-16,514-16,,514,16,,0,,0,0,,,,,,,Monday
Ch-B1,A,4,4,BORDER,513-15,513-15,,513,15,,0,,0,0,,,,,,,Monday
Ch-B1,A,5,5,BORDER,516-11,516-11,,516,11,,0,,0,0,,,,,,,Monday
Ch-B1,A,6,6,BORDER,520-5,520-5,,520,5,,0,,0,0,,,,,,,Monday
Ch-B1,A,7,7,BORDER,515-01,515-01,,515,1,,0,,0,0,,,,,,,Monday
Ch-B1,A,8,8,BORDER,518-15,518-15,,518,15,,0,,0,0,,,,,,,Monday
Ch-B1,A,9,9,BORDER,512-03,512-03,,512,3,,0,,0,0,,,,,,3/4- dead tip,Monday
Ch-B1,A,10,10,BORDER,511-12,511-12,,511,12,,0,,0,3,,,,,,,Monday
Ch-B1,A,11,11,BORDER,380-04,380-04,,380,4,,0,,0,0,,,,,,,Monday
Ch-B1,A,12,12,BORDER,375-1,375-1,,375,1,,0,,1,1,,,,,,,Monday
Ch-B1,A,13,13,BORDER,378-7,378-7,,378,7,,0,,0,0,,,,,,,Monday
Ch-B1,A,14,14,BORDER,374-2,374-2,,374,2,,0,,0,0,,,,,,,Monday
Ch-B1,A,15,15,BORDER,372-4,372-4,,372,4,,0,,0,0,,,,,,,Monday
Ch-B1,A,16,16,BORDER,373-9,373-9,,373,9,,0,,0,0,,,,,,,Monday
Ch-B1,A,17,17,BORDER,376-11,376-11,,376,11,,0,,0,0,,,,,,,Monday
Ch-B1,A,18,18,BORDER,371-13,371-13,,371,13,,0,,0,0,,,,,,,Monday
Ch-B1,A,19,19,BORDER,370-9,370-9,,370,9,,0,,0,1,,,,,,,Monday
Ch-B1,A,20,20,BORDER,291-11,291-11,,291,11,,0,,0,0,,,,,,,Monday
Ch-B1,A,21,21,BORDER,296-5,296-5,,296,5,,0,,0,0,,,,,,,Monday
Ch-B1,A,22,22,BORDER,294-6,294-6,,294,6,,0,,2,4,,,,,,,Monday
Ch-B1,A,23,23,BORDER,302-2,302-2,,302,2,,0,,0,0,,,,,,,Monday
Ch-B1,A,24,24,BORDER,299-13,299-13,,299,13,,0,,0,1,,,,,,,Monday
Ch-B1,A,25,25,BORDER,298-13,298-13,,298,13,,0,,0,0,,,,,,,Monday
Ch-B1,A,26,26,BORDER,295-03,295-03,,295,3,,0,,0,0,,,,,,,Monday
Ch-B1,A,27,27,BORDER,303-13,303-13,,303,13,,0,,0,0,,,,,,3/4- dead tip,Monday
Ch-B1,A,28,28,BORDER,297-2,297-2,,297,2,,0,,0,0,,,,,,,Monday
Ch-B1,A,29,29,BORDER,367-4,367-4,,367,4,,0,,0,0,,,,,,,Monday
Ch-B1,A,30,30,BORDER,362-1,362-1,,362,1,,0,,0,0,,,,,,,Monday
Ch-B1,A,31,31,BORDER,364-1,364-1,,364,1,,0,,0,0,,,,,,,Monday
Ch-B1,A,32,46,BORDER,361-10,361-10,,361,10,,0,,0,,,,,,,,Monday
Ch-B1,B,46,1,BORDER,307-12,307-12,,307,12,,0,,0,0,,,,,,,Monday
Ch-B1,B,45,2,BORDER,305-12,305-12,,305,12,,0,,0,0,,,,,,,Monday
Ch-B1,B,44,3,BORDER,311-4,311-4,,311,4,,0,,0,3,,,,,,,Monday
Ch-B1,B,43,4,BORDER,310-8,310-8,,310,8,,0,,0,0,,,,,,,Monday
Ch-B1,B,42,5,BORDER,314-9,314-9,,314,9,,0,,2,4,,,,,,,Monday
Ch-B1,B,41,6,BORDER,306-5,306-5,,306,5,,0,,0,0,,,,,,,Monday
Ch-B1,B,40,7,BORDER,388-5,388-5,,388,5,,0,,0,0,,,,,,,Monday
Ch-B1,B,39,8,BORDER,385-5,385-5,,385,5,,0,,0,0,,,,,,,Monday
Ch-B1,B,38,9,BORDER,382-12,382-12,,382,12,,0,,0,0,,,,,,,Monday
Ch-B1,B,37,10,BORDER,381-1,381-1,,381,1,,0,,0,0,,,,,,,Monday
Ch-B1,B,36,11,BORDER,368-10,368-10,,368,10,,0,,0,0,,,,,,,Monday
Ch-B1,B,35,12,BORDER,396-14,396-14,,396,14,,0,,0,0,,,,,,,Monday
Ch-B1,B,34,13,BORDER,366-6,366-6,,366,6,,0,,0,0,,,,,,,Monday
Ch-B1,B,33,14,BORDER,365-4,365-4,,365,4,,0,,0,3,,,,,,,Monday
Ch-B1,B,32,15,BORDER,363-5,363-5,,363,5,,0,,0,0,,,,,,,Monday
Ch-B1,B,31,16,LYN-331-11,,LYN-331-11,LYN,331,11,,0,,0,0,,,,,,,Monday
