"PointID" "long" "lat" "elev" "mat" "map" "gsp" "mtcm" "mmin" "mtwm" "mmax" "sday" "fday" "ffp" "dd5" "gsdd5" "d100" "dd0" "mmindd0" "smrpb" "smrsprpb" "sprp" "smrp" "winp"
"657-9" -122.0891 39.9104 61 16.8 553 83 7.6 2.3 26.7 35.8 48 332 283 4362 4067 32 1 84 0.36 0.13 52 7 357
"572-13" -122.0897 39.9097 56 16.9 553 83 7.6 2.3 26.7 35.8 47 332 283 4377 4086 32 1 84 0.36 0.13 52 7 357
"574-5" -120.0361 34.6889 331 15.4 450 55 10.3 2.9 21.4 30.7 69 331 261 3819 3217 19 0 84 0.28 0.05 42 2 300
"113-7" -120.0362 34.6882 323 15.5 450 55 10.4 2.9 21.4 30.7 64 330 261 3834 3252 18 0 83 0.28 0.05 42 2 300
"117-4" -118.6675 35.0053 1219 13.1 307 54 5.6 0.2 23.1 30.6 114 314 207 3114 2631 49 14 251 0.46 0.23 35 8 188
"371-3" -118.6661 35.0056 1236 13 310 56 5.5 0.2 23 30.5 115 313 205 3083 2601 50 15 254 0.47 0.22 36 8 189
"370-3" -120.3576 37.5174 96 16.2 417 63 7 1.6 26 36.1 71 321 250 4164 3698 35 3 123 0.21 0.06 49 3 259
"269-10" -120.3219 37.525 110 16.2 431 65 7 1.6 26 36.2 74 321 247 4155 3669 35 3 126 0.2 0.06 51 3 268
"271-8" -121.4083 36.7756 198 14.9 374 48 8.9 2.6 20.8 28.7 58 331 269 3648 3212 24 0 87 0.33 0.12 34 4 247
"211-6" -121.4046 36.7773 199 14.9 372 48 8.9 2.6 20.8 28.8 59 331 266 3654 3213 24 0 88 0.33 0.12 34 4 245
"206-16" -121.2369 35.9762 313 14.5 490 50 8.8 1.5 21.2 31.7 91 313 217 3499 2778 24 0 170 0.32 0.08 37 3 345
"611-1" -121.2337 35.9796 293 14.5 480 50 8.8 1.6 21.1 31.5 79 314 218 3498 2851 24 0 164 0.32 0.08 37 3 337
"613-8" -118.4887 35.1164 1277 12.8 301 56 5.3 -0.4 22.8 30.3 117 307 202 3011 2513 52 19 303 0.51 0.29 34 10 181
"8-14" -118.4844 35.1189 1259 12.8 298 57 5.3 -0.3 22.8 30.4 115 307 202 3026 2533 51 17 299 0.54 0.32 34 11 178
"2-14" -122.1969 37.9644 127 14.8 538 59 8.6 3.8 20.5 26.4 33 346 308 3630 3422 25 0 43 0.23 0.07 45 3 360
"280-3" -122.1762 37.9696 199 14.8 553 62 8.5 3.7 20.7 27 41 344 305 3608 3354 26 0 47 0.24 0.06 47 3 369
"281-8" -120.4009 35.1122 253 14.8 435 55 10.2 3.1 19.7 27.7 58 333 275 3595 3091 19 0 71 0.31 0.07 41 3 286
"322-5" -120.3951 35.1147 224 14.9 423 54 10.3 3.2 19.7 27.6 55 335 280 3627 3145 19 0 68 0.32 0.08 40 3 278
"325-11" -123.4773 39.6659 509 12.3 1492 179 6 0.4 19.8 30.1 121 288 161 2778 2022 43 8 263 0.31 0.12 129 15 1006
"553-1" -123.4841 39.6517 509 12.3 1496 179 6 0.5 19.8 29.9 121 288 162 2767 2010 42 8 259 0.31 0.12 129 15 1009
"555-12" -118.572 34.4009 384 17.2 425 51 10.8 3.3 24.8 34 59 336 283 4464 3919 17 0 63 0.38 0.14 36 5 289
"385-3" -118.5715 34.4005 394 17.2 430 52 10.7 3.3 24.8 34 59 336 283 4459 3916 17 0 63 0.37 0.14 37 5 292
"388-6" -122.9508 39.2535 441 13.8 914 100 6.4 -0.2 22.7 33.6 105 299 190 3324 2649 39 5 271 0.27 0.09 74 7 630
"24-10" -122.9516 39.2524 443 13.8 916 101 6.4 -0.2 22.6 33.6 107 299 190 3315 2626 39 5 272 0.28 0.09 74 7 631
"25-3" -121.1077 39.0005 412 15.4 952 132 7.1 1.9 24.9 33.7 70 326 252 3869 3464 35 2 109 0.28 0.09 95 9 610
"159-6" -121.0988 39.0346 444 15.2 997 138 7 1.8 24.8 33.6 77 325 247 3818 3383 35 2 118 0.28 0.09 99 9 641
