Acc. No.,Tree No.,Site name,Site abb.,Latitude,Longitude,Elevation (m),Days to germ
662,9,Woodson Bridge SRA/Tehama CP,WOO,39.91042,-122.08910,61,124
657,13,Woodson Bridge SRA/Tehama CP,WOO,39.90974,-122.08971,56,82
572,5,SEDGWICK RESERVE,SW,34.68892,-120.03605,331,82
574,7,SEDGWICK RESERVE,SW,34.68820,-120.03615,323,75
113,4,"Cordon Ridge, 1200 m",CR12,35.00529,-118.66748,1219,82
117,3,"Cordon Ridge, 1200 m",CR12,35.00558,-118.66608,1236,89
371,3,Merced River,MER,37.51744,-120.35764,96,89
370,10,Merced River,MER,37.52504,-120.32188,110,82
269,8,HOLLISTER HILLS,HH,36.77565,-121.40834,198,82
271,6,HOLLISTER HILLS,HH,36.77734,-121.40459,199,96
211,16,FORT HUNTER LIGGETT,FHL,35.97619,-121.23695,313,75
206,1,FORT HUNTER LIGGETT,FHL,35.97960,-121.23371,293,69
611,8,Tehachapi,TAC,35.11636,-118.48871,1277,82
613,14,Tehachapi,TAC,35.11889,-118.48441,1259,96
8,14,Alhambra,ALH,37.96435,-122.19691,127,96
2,3,Alhambra,ALH,37.96964,-122.17619,199,69
280,8,HUASNA VALLEY NEAR ARROYO GRANDE,HUA,35.11222,-120.40086,253,82
281,5,HUASNA VALLEY NEAR ARROYO GRANDE,HUA,35.11467,-120.39512,224,69
322,11,Laytonville,LAY,39.66592,-123.47726,509,89
325,1,Laytonville,LAY,39.65170,-123.48409,509,82
553,12,Santa Clarita,SCL,34.40093,-118.57196,384,110
555,3,Santa Clarita,SCL,34.40054,-118.57149,394,69
385,6,Middle Creek CG,MCK,39.25349,-122.95084,441,82
388,10,Middle Creek CG,MCK,39.25236,-122.95158,443,82
24,3,Bear River,BER,39.00045,-121.10773,412,69
25,6,Bear River,BER,39.03464,-121.09885,444,82
159,10,COTTONWOOD CANYON ROAD,COT,34.99191,-119.88871,629,110
161,8,COTTONWOOD CANYON ROAD,COT,34.99176,-119.88843,618,82
332,2,"LYNCH CANYON ROAD, LAKE NACIMIENTO",LYN,35.78751,-120.94111,288,82
331,11,"LYNCH CANYON ROAD, LAKE NACIMIENTO",LYN,35.78765,-120.93880,284,75
605,10,Sunol,SUN,37.59867,-121.87535,85,61
603,14,Sunol,SUN,37.60157,-121.87363,81,117
298,2,Island,ISL,36.34413,-119.82632,62,61
297,11,Island,ISL,36.34766,-119.82517,63,124
649,11,Williams,WIL,38.99365,-122.35313,319,late germ
646,3,Williams,WIL,39.00362,-122.35478,320,61
584,3,Sonora,SON,38.01128,-120.40405,638,61
583,14,Sonora,SON,38.00973,-120.39066,632,89
129,10,"Cordon Ridge, 1750 m",CR17,34.98736,-118.61890,1743,75
130,11,"Cordon Ridge, 1750 m",CR17,34.98730,-118.61983,1746,96
314,5,Kaweah,KAW,36.33781,-119.16975,121,82
313,11,Kaweah,KAW,36.33637,-119.16900,118,82
89,9,Chico,CHI,39.71202,-121.78502,83,89
91,6,Chico,CHI,39.70629,-121.78463,87,75
663,3,Woodson Bridge SRA/Tehama CP,WOO,39.91288,-122.08720,55,75
659,9,Woodson Bridge SRA/Tehama CP,WOO,39.91079,-122.09097,55,late germ
570,8,SEDGWICK RESERVE,SW,34.70022,-120.04050,348,82
576,2,SEDGWICK RESERVE,SW,34.69334,-120.03813,331,49
115,6,"Cordon Ridge, 1200 m",CR12,35.00517,-118.66690,1228,103
116,10,"Cordon Ridge, 1200 m",CR12,35.00527,-118.66647,1232,131
373,11,Merced River,MER,37.51684,-120.36082,91,82
369,1,Merced River,MER,37.52510,-120.32139,111,69
274,8,HOLLISTER HILLS,HH,36.77961,-121.40169,191,96
270,2,HOLLISTER HILLS,HH,36.77647,-121.40765,193,69
212,14,FORT HUNTER LIGGETT,FHL,35.97635,-121.23721,315,89
210,6,FORT HUNTER LIGGETT,FHL,35.98042,-121.23280,300,89
614,12,Tehachapi,TAC,35.12270,-118.48340,1239,89
609,12,Tehachapi,TAC,35.11741,-118.48917,1270,89
4,4,Alhambra,ALH,37.96935,-122.17589,198,54
3,1,Alhambra,ALH,37.96985,-122.17661,202,61
279,6,HUASNA VALLEY NEAR ARROYO GRANDE,HUA,35.11256,-120.39979,244,82
277,5,HUASNA VALLEY NEAR ARROYO GRANDE,HUA,35.12399,-120.39111,249,89
321,7,Laytonville,LAY,39.67215,-123.48067,500,152
323,12,Laytonville,LAY,39.65154,-123.48087,512,96
558,7,Santa Clarita,SCL,34.39832,-118.57067,424,82
556,6,Santa Clarita,SCL,34.39997,-118.57200,393,82
391,9,Middle Creek CG,MCK,39.24288,-122.94722,440,82
384,3,Middle Creek CG,MCK,,,,82
23,5,Bear River,BER,38.99662,-121.10839,402,75
26,3,Bear River,BER,39.03440,-121.10777,424,54
160,4,COTTONWOOD CANYON ROAD,COT,34.99192,-119.88856,624,69
157,5,COTTONWOOD CANYON ROAD,COT,34.99284,-119.88912,626,82
330,3,"LYNCH CANYON ROAD, LAKE NACIMIENTO",LYN,35.78779,-120.93912,282,75
328,4,"LYNCH CANYON ROAD, LAKE NACIMIENTO",LYN,35.78753,-120.93898,283,69
602,4,Sunol,SUN,37.60200,-121.87358,81,61
607,3,Sunol,SUN,37.60332,-121.87334,81,54
296,9,Island,ISL,36.34760,-119.82504,61,89
294,8,Island,ISL,36.34366,-119.82310,78,82
648,9,Williams,WIL,39.00279,-122.35436,325,82
647,9,Williams,WIL,39.00313,-122.35464,317,145
580,6,Sonora,SON,37.97516,-120.39289,525,49
582,8,Sonora,SON,37.99425,-120.38364,586,82
131,10,"Cordon Ridge, 1750 m",CR17,34.98715,-118.62000,1747,96
128,1,"Cordon Ridge, 1750 m",CR17,34.98752,-118.61896,1747,82
311,2,Kaweah,KAW,36.33762,-119.17043,119,61
310,12,Kaweah,KAW,36.33648,-119.17050,117,82
86,9,Chico,CHI,39.71180,-121.78388,81,late germ
88,12,Chico,CHI,39.71196,-121.78434,76,75
664,12,Woodson Bridge SRA/Tehama CP,WOO,39.91839,-122.08546,62,110
660,5,Woodson Bridge SRA/Tehama CP,WOO,39.91110,-122.09122,55,82
